Time,Env_T,Env_H,Unit1_A_T,Unit1_B_T,Unit1_C_T,Unit2_A_T,Unit2_B_T,Unit2_C_T,Unit3_A_T,Unit3_B_T,Unit3_C_T,Unit4_A_T,Unit4_B_T,Unit4_C_T,Unit5_A_T,Unit5_B_T,Unit5_C_T,Unit6_A_T,Unit6_B_T,Unit6_C_T
2022-01-07 16:31:56,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:31:58,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:02,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:04,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:06,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:08,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:22,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:24,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07 16:32:26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
